ID_1,NAME_1,NAME_2,longitude,latitude,CL
1,Abia,Aba North,7.356,5.11,2
2,Abia,Aba South,7.344,5.056,2
3,Abia,Arochukwu,7.703,5.569,2
4,Abia,Bende,7.57,5.609,2
5,Abia,Ikwuano,7.584,5.363,2
6,Abia,Isiala Ngwa North,7.447,5.359,2
7,Abia,Isiala Ngwa South,7.397,5.273,2
8,Abia,Isuikwuato,7.493,5.786,2
9,Abia,Obi Ngwa,7.453,5.084,2
10,Abia,Ohafia Abia,7.768,5.687,2
11,Abia,Osisioma Ngwa,7.312,5.16,2
12,Abia,Ugwunagbo,7.314,5.118,2
13,Abia,Ukwa East,7.425,4.916,2
14,Abia,Ukwa West,7.255,4.911,2
15,Abia,Umu-Nneochi,7.464,5.952,15
16,Abia,Umuahia North,7.426,5.591,2
17,Abia,Umuahia South,7.4,5.457,2
18,Adamawa,Demsa,12.291,9.459,27
19,Adamawa,Fufore,12.468,9.007,27
20,Adamawa,Ganye,11.93,8.438,27
21,Adamawa,Girie,12.614,10.184,36
22,Adamawa,Gombi,12.545,9.41,27
23,Adamawa,Guyuk,12.016,9.765,27
24,Adamawa,Hong,12.999,10.318,36
25,Adamawa,Jada,12.32,8.612,27
26,Adamawa,Lamurde,11.806,9.602,27
27,Adamawa,Madagali,13.572,10.797,36
28,Adamawa,Maiha,13.206,9.873,36
29,Adamawa,Mayo-Bel,12.033,8.804,27
30,Adamawa,Michika,13.477,10.598,36
31,Adamawa,Mubi North,13.382,10.376,36
32,Adamawa,Mubi South,13.431,10.184,36
33,Adamawa,Numan,11.845,9.366,27
34,Adamawa,Shelleng,12.194,9.723,27
35,Adamawa,Song,12.557,9.756,27
36,Adamawa,Teungo,11.88,8.02,27
37,Adamawa,Yola North,12.522,9.236,27
38,Adamawa,Yola South,12.604,9.134,27
39,Akwa Ibom,Abak,7.77,5.027,2
40,Akwa Ibom,Eastern Obolo,7.728,4.515,2
41,Akwa Ibom,Eket,7.943,4.605,2
42,Akwa Ibom,Esit Eket,8.074,4.622,2
43,Akwa Ibom,Essien-U,7.632,5.093,2
44,Akwa Ibom,EtimEkpo,7.58,4.958,2
45,Akwa Ibom,Etinan,7.837,4.8,2
46,Akwa Ibom,Ibeno,8.101,4.563,2
47,Akwa Ibom,Ibesikpo Asutan,7.938,4.906,2
48,Akwa Ibom,Ibiono Ibom,7.882,5.191,2
49,Akwa Ibom,Ika,7.508,4.977,2
50,Akwa Ibom,Ikono,7.767,5.207,2
51,Akwa Ibom,Ikot-Aba,7.622,4.59,2
52,Akwa Ibom,Ikot-Ekp,7.683,5.189,2
53,Akwa Ibom,Ini,7.736,5.394,2
54,Akwa Ibom,Itu,7.97,5.117,2
55,Akwa Ibom,Mbo,8.242,4.647,2
56,Akwa Ibom,Mkpat Enin,7.767,4.672,2
57,Akwa Ibom,Nsit Atai,8.015,4.812,2
58,Akwa Ibom,Nsit Ibom,7.893,4.846,2
59,Akwa Ibom,Nsit Ubium,7.949,4.733,2
60,Akwa Ibom,Obot Akara,7.596,5.213,2
61,Akwa Ibom,Okobo,8.124,4.784,2
62,Akwa Ibom,Onna,7.854,4.598,2
63,Akwa Ibom,Oron,8.215,4.803,2
64,Akwa Ibom,Oruk-Ana,7.67,4.791,2
65,Akwa Ibom,Udung Uko,8.233,4.726,2
66,Akwa Ibom,Ukanafun,7.599,4.868,2
67,Akwa Ibom,Uruan,8.041,4.976,2
68,Akwa Ibom,UrueOffo,8.161,4.701,2
69,Akwa Ibom,Uyo,7.916,5.002,2
70,Anambra,Aguata,7.063,5.973,15
71,Anambra,Anambra East,6.869,6.297,15
72,Anambra,Anambra West,6.812,6.415,15
73,Anambra,Anaocha,6.996,6.07,15
74,Anambra,AwkaNort,7.027,6.317,15
75,Anambra,AwkaSout,7.055,6.167,15
76,Anambra,Ayamelum,6.949,6.501,15
77,Anambra,Dunukofia,6.94,6.424,15
78,Anambra,Ekwusigo,6.821,5.993,15
79,Anambra,Idemili North,6.894,6.112,15
80,Anambra,Idemili South,6.892,6.064,15
81,Anambra,Ihiala,6.866,5.814,15
82,Anambra,Njikoka,6.966,6.157,15
83,Anambra,NnewiNort,6.88,5.986,15
84,Anambra,NnewiSou,6.917,5.921,15
85,Anambra,Ogbaru,6.721,5.814,15
86,Anambra,Onitsha North,6.786,6.105,15
87,Anambra,Onitsha South,6.753,6.07,15
88,Anambra,OrumbaNo,7.139,6.088,15
89,Anambra,OrumbaSo,7.204,5.968,15
90,Anambra,Oyi,6.68,6.189,15
91,Bauchi,Alkaleri,10.493,9.877,35
92,Bauchi,Bauchi,9.95,10.156,35
93,Bauchi,Bogoro,9.596,9.616,35
94,Bauchi,Damban,10.809,11.558,31
